"Wavelength","Lipi-Blue EM","Lipi-Blue EX","Hoechst 33342 EM","Hoechst 33342 EX","LysoTracker Green EM","LysoTracker Green EX","SYBR Gold EM","SYBR Gold EX","TMRE EM","TMRE EX","SPY505 EM","SPY505 AB","SPY620 EM","SPY620 AB","SiR EM","SiR AB","DRAQ7 EM","DRAQ7 EX"
482,0.4214,,0.8007,,,0.5403,,0.739,,0.09539999812841415,,0.3666503429412842,,0.003051683073863387,,0.012124274,,0.12
483,0.4043,,0.7865,,,0.5582,,0.7614,,0.09902499802410603,,0.373684287071228,,0.0025365480687469244,,0.011871685,,0.12
484,0.3899,,0.7722,,,0.5774,,0.7845,,0.1026499979197979,,0.3824661076068878,,0.001832313952036202,,0.011871685,,0.12
485,0.3765,,0.759,,0.0149,0.5966,,0.8091,,0.10627499781548977,,0.39221885800361633,,0.0013302209554240108,,0.011871685,,0.12
486,0.363,,0.7462,,0.0178,0.6208,,0.8359,,0.10989999771118164,,0.4037545621395111,,0.00039385000127367675,,0.011871685,,0.12
487,0.3496,,0.7337,,0.0221,0.6478,,0.8607,,0.11779999732971191,,0.416852205991745,,0.0006716310163028538,,0.011871685,,0.12
488,0.3379,,0.7222,,0.0277,0.6733,,0.8874,,0.1256999969482422,,0.4307956397533417,,0.0011737239547073841,,0.012124274,,0.13
489,0.3264,,0.7118,,0.0347,0.7008,,0.9129,,0.1326499953866005,,0.44716736674308777,,0.0011867659632116556,,0.012124274,,0.13
490,0.3148,,0.7021,,0.043,0.7298,,0.9335,,0.1395999938249588,,0.46508046984672546,,0.0025691520422697067,,0.011871685,,0.13
491,0.3036,,0.6917,,0.0539,0.7583,,0.9561,,0.14749999344348907,,0.48475009202957153,,0.003958059009164572,,0.012124274,,0.13
492,0.2928,,0.6802,,0.0675,0.7842,,0.9715,,0.15539999306201935,,0.508327841758728,,0.004212365951389074,,0.012376863,,0.13
493,0.2821,,0.6701,,0.0851,0.8162,,0.9878,,0.16299999753634134,,0.5347487926483154,,0.005125261843204498,,0.012629452,,0.14
494,0.2713,,0.6594,,0.1067,0.8462,,0.9959,,0.17060000201066336,,0.5624483823776245,,0.004877476021647453,,0.012629452,,0.14
495,0.2605,,0.6486,,0.1337,0.8804,,0.9979,,0.17820000648498535,0.031859930604696274,0.5926662683486938,,0.00378852104768157,,0.012629452,,0.14
496,0.2491,,0.6378,,0.1685,0.9104,,1,,0.18810000270605087,0.026980482041835785,0.6256241202354431,,0.004883997142314911,,0.012882041,,0.15
497,0.2376,,0.6271,,0.2112,0.9423,,0.9949,,0.1979999989271164,0.022101033478975296,0.6597328782081604,,0.0057968939654529095,,0.01313463,,0.15
498,0.226,,0.6174,,0.2637,0.9678,,0.9885,,0.20717499777674675,0.026549942791461945,0.6951805353164673,,0.005503462161868811,,0.01313463,,0.15
499,0.2154,,0.6073,,0.3245,0.9887,,0.9768,,0.2163499966263771,0.030998852103948593,0.7321173548698425,,0.006383756175637245,,0.012629452,,0.16
500,0.2072,,0.5972,,0.3962,0.9983,0.0997,0.9606,,0.22552499547600746,0.03903559222817421,0.7689415812492371,,0.0076031251810491085,,0.012882041,,0.16
501,0.199,,0.5868,,0.4758,1,0.1111,0.9412,,0.23469999432563782,0.047072332352399826,0.8048922419548035,,0.008483418263494968,,0.012882041,,0.16
502,0.1909,,0.5764,,0.5614,0.9816,0.1264,0.9178,,0.249549999833107,0.05797933600842953,0.8399097323417664,,0.008802931755781174,,0.013387219,,0.17
503,0.1827,,0.566,,0.6519,0.9486,0.144,0.8911,,0.26440000534057617,0.06888633966445923,0.8748279213905334,,0.008939865976572037,,0.013387219,,0.17
504,0.1745,,0.5552,,0.7384,0.9025,0.1637,0.8639,,0.2782500088214874,0.08668197691440582,0.9073701500892639,,0.009494124911725521,,0.013639808,,0.17
505,0.1689,,0.5441,,0.8203,0.8414,0.1844,0.8322,,0.2921000123023987,0.10447761416435242,0.9347169995307922,,0.009924490004777908,,0.013639808,,0.18
506,0.1636,,0.533,,0.8914,0.7639,0.2072,0.8009,,0.30266667405764264,0.12844432145357132,0.9586091041564941,,0.01013967301696539,,0.013639808,,0.18
507,0.1583,,0.5229,,0.9486,0.6764,0.2311,0.7642,,0.31323333581288654,0.15241102874279022,0.9782588481903076,,0.010393979959189892,,0.013639808,,0.19
508,0.1529,,0.5118,,0.983,0.589,0.257,0.726,,0.3237999975681305,0.1858495995402336,0.9911513328552246,,0.010641765780746937,,0.013892397,,0.19
509,0.1476,,0.5014,,1,0.4999,0.2836,0.6899,,0.3356499969959259,0.219288170337677,0.9980012774467468,,0.009663662873208523,,0.014144986,,0.19
510,0.1423,,0.4913,,0.9959,0.4159,0.31,0.6508,,0.3474999964237213,0.26305970549583435,1,,0.010537435300648212,,0.014397575,,0.2
511,0.1371,,0.4809,,0.978,0.3428,0.3393,0.6134,,0.37130001187324524,0.3068312406539917,0.9928786754608154,,0.013530432246625423,,0.014650164,,0.2
512,0.1325,,0.4708,,0.9413,0.2787,0.3675,0.5785,,0.38019999861717224,0.3513203263282776,0.977411687374115,,0.014658510684967041,,0.014397575,,0.21
513,0.1278,,0.4611,,0.9008,0.2257,0.3977,0.5422,,0.38909998536109924,0.3958094120025635,0.9553396701812744,,0.014873693697154522,,0.014902753,,0.21
514,0.1231,,0.4517,,0.8567,0.1785,0.4289,0.5035,,0.39799998700618744,0.4593857526779175,0.9253785610198975,,0.016790777444839478,,0.015155342,,0.22
515,0.1184,,0.4424,,0.8112,0.1415,0.4618,0.4666,,0.40689998865127563,0.5229620933532715,0.888210117816925,,0.019125184044241905,,0.015155342,,0.22
516,0.1137,,0.4333,,0.7652,0.1118,0.4944,0.4333,,0.4138333300749461,0.5810849368572235,0.8444961905479431,,0.019529467448592186,,0.01566052,,0.23
517,0.1094,,0.4243,,0.7219,0.0878,0.5271,0.3975,,0.4207666714986165,0.6392077803611755,0.7953751087188721,,0.021042266860604286,,0.016165698,,0.23
518,0.1057,,0.4153,,0.6854,0.0683,0.5635,0.3654,,0.427700012922287,0.693312257528305,0.7423425912857056,,0.02282893657684326,,0.016418288,,0.24
519,0.1019,,0.4066,,0.6532,0.055,0.5997,0.3341,,0.4343000054359436,0.7474167346954346,0.6854847073554993,,0.023050639778375626,,0.016418288,,0.24
520,0.0982,,0.3976,,0.6249,0.0446,0.6358,0.3037,,0.4408999979496002,0.7982204258441925,0.6273117661476135,,0.023683147504925728,,0.016418288,,0.25
521,0.0945,,0.3896,,0.5971,0.0365,0.665,0.278,,0.44749999046325684,0.8490241169929504,0.5698384046554565,,0.025085095316171646,,0.016923467,,0.25
522,0.0908,,0.3802,,0.5684,0.03,0.6926,0.2523,,0.4527999957402547,0.8900688886642456,0.5131916403770447,,0.027132591232657433,,0.016923467,,0.26
523,0.0871,,0.3719,,0.5424,0.0251,0.7201,0.2293,,0.4581000010172526,0.9311136603355408,0.45914584398269653,,0.029193129390478134,,0.017428644,,0.27
524,0.0834,,0.3628,,0.5219,0.021,0.7522,0.2074,,0.4634000062942505,0.9552238881587982,0.40774673223495483,,0.03130583465099335,,0.017933821,,0.27
525,0.0797,,0.3542,,0.5039,0.0175,0.7831,0.1857,,0.47030000388622284,0.9793341159820557,0.35906773805618286,,0.03281211480498314,,0.018439,,0.28
526,0.0764,,0.3459,,0.4882,0.0151,0.814,0.165,,0.4772000014781952,0.9896670579910278,0.3148236870765686,,0.03341853618621826,,0.018691588,,0.29
527,0.0731,,0.3381,,0.4734,0.0128,0.8419,0.1467,,0.4851499944925308,1,0.2745876908302307,,0.03444880619645119,,0.018944178,,0.29
528,0.0698,,0.3309,,0.458,0.0108,0.8644,0.1306,,0.49309998750686646,0.9918197393417358,0.2374020516872406,,0.03586379438638687,,0.019701945,,0.3
529,0.0665,,0.3234,,0.4416,0.0095,0.8846,0.1177,,0.5109000205993652,0.9836394786834717,0.2046288400888443,,0.03671148419380188,,0.020459712,,0.31
